review_body,product_category
Aucun effet... N achetez pas ce produit...,drugstore
J'ai pas reçu mes commandes la même temps c'était bien écrit sur le site il était livré j'étais à la poste c'est écrit livrer au moins j'ai rien reçu alors pour demande remboursement non j'ai fait parce que j'ai pas reçu la commande,wireless
"Amazon ne traite pas correctement ses clients. Un article indiqué comme déposé dans la boîte aux lettres qui ne l'est pas. Et Amazon qui joue la montre pour retarder le règlement du problème. C'est une honte, fuyez",electronics
"Facile d'utilisation oui.. Par contre reçu , utilisé mais donne un goût peu agréable a l'eau. Demande d'échange. Article renvoyé il y a 8 jours. Retesté, toujours ce goût désagréable. Je vais redemander un remplacement. Dommage.",home
"N'à absolument pas fonctionner pour moi, toujours grosse fuite de liquide de refroidissement, en même temps vu le prix!!! Fuyer, produit inutile à part vider un peu plus le portefeuille.",automotive
le chargeur fonctionne 2 jour après ça meurt,wireless
Je l’ai renvoyé car je n’ai pas réussi à faire mousser du lait à l’interieur,home
"Ces stylos ne glissent pas assez comme ceux achetés en grande surface, l’encre est plus foncé Je vous les déconseille",office_product
Produit jamais reçu malgré de nombreuses relances pour au final être remboursé à ma demande au bout de 3 semaines. La communication est difficile car un coup on nous répond en anglais un coup en espagnol . Je ne peux pas juger la qualité du produit car je ne l’aurais jamais vu!!!!! Très déçu,furniture
Le livre est en bon état les délais sont respectés et je suis très satisfaite je vous en remercie. Salutations,book
"Après deux mois d'utilisation problèmes de chargements de la batterie, remplacée par une autre plus de problèmes donc c'est bien elle qui ne fonctionnait plus, c'est pas cher mais pas fiable! Attention à éviter!",electronics
Seulement 36 pièce a arriver,beauty
"Très déçue, l'écartement pour le rouleau est trop large, du coup le rouleau ne tient pas. Ne sert donc à rien",kitchen
"Je ne sais pas si cette boussole possède les qualités qu'on lui demande. Je me demande encore comment son aiguille peut chercher le nord sans le trouver. Dommage, elle est très jolie pourtant dans son écrin.... juste jolie.",home
On me demande de commenter un article qui n est pas arrivé chez moi ....,wireless
"ls vendent des paquets ouverts, ce n'est pas acceptable.",drugstore
le délai se rallonge a 10 jours et puis colis reçu ors je n'ai rien reçu,pc
Pas adapté à mon Apple Watch mauvaise taille trop petite,wireless
Je ne comprends pas le principe de faire un livre pour bébé avec des ingrédients qu'ils ne peuvent pas manger Le miel et le sucre à 4mois vraiment ?! Je suis pas certaine que la ou les personnes ayant écrit ce bouquin se soit réellement renseigner sur l'alimentation des bébés Ils ont mis le tableau récapitulatif des aliments qu'il y a dans le carnet de santé meme pas fichu de le suivre 🙄,book
Pas à la bonne taille,wireless
La taille ne correspond pas à celle que j ai commandée ni celle inscrite sur l emballage. Largeur max 150 au lieu de 180. Évidemment je m en suis aperçue après avoir lavé le drap en voulant faire le lit.,home
Dans le cadre de mon travail fermoir s est cassé à la première ouverture 🤨,office_product
"Colis jamais reçu, jamais signé ou est ce colis????",home
J'ai reçu deux paires 2 cils dont une ou il manquait deux aimants qualité médiocre retour expéditeur,beauty
Produit jamais reçu ! Finalement remboursé après une longue attente. Très déçue. Une étoile pour le remboursement et les excuses.,beauty
Très déçu qualité très médiocre. Il y avait un défaut sur l’assise d’une chaise et il n’y avait que les vis pour 2 chaises sur 4. Je ne recommande pas du tout. Obligé de racheter des chaises en boutique.,furniture
Un peu déçu car le produit ne correspondait pas à la photo.,home
"Ce jeu est arrivé cassé, en guise de charnières, deux brindilles de bois, qui de toute façon, étaient condamnées à une durée de vie très limitée, arrivées défoncées, jeu inutilisable...",toy
"Les vis fournis ne sont pas les bonnes (soit trop longues, soit trop courtes...). Après 10 impressions, les raccords pneumatique m'ont lâché. C'est des raccords de mauvaise qualité et en plus leurs filet n'est pas standard donc pour en retrouver d'autres... Bref je ne vous recommande franchement pas cette extrudeur !",industrial_supplies
"La plus grande étagère n'est pas percée sur un des côtés, empêchant sa fixation...",home
Panier à couvert absolument pas universel. Ne s ajuste pas car les trous de la base sont trop étroits. Déçue du produit.,other
Quantité toute petite le produit a moisi après avoir été remis dans sa boîte après une seule utilisation. Je ne recommande pas,sports
Article arrivé abimé. Déçue. Merci de me recontacter pour trouver une solution.,wireless
"bas de gamme, emballage a peine ouvert, la gachette ne marche meme pas et on entend une grosse fuite d'air. retour à l'envoyeur...",home_improvement
C'est pas costo Cesse facile Ya Pas calite,home_improvement
"Désolée par cet achat. L’objet était très joli à l’ecran Mais sans doute mal protégé lors de l’envoi, la pierre est arrivée étoilée, manifestement cassée",home
"On annonce sur les sites spécialisés et sur amazon, coque ultra pratique, avec déverrouillage des appels sur la coque, comme indiqué avec l'image, l'heure et la date, mais rien, rien, rien... Ok c'est pratique si vous devez regarder un film ou vidéo sur youtube, mais après ça c'est loin d'être génial. Je voulais le voir par mes propre yeux car très prometteur, mais aussi tôt reçu, aussi tôt renvoyer. Je déconseille comme les autres personnes avant moi.",wireless
À se demander si les baskets ne sont pas de la contrefaçon ???!!?? La basket droite à la languette plus longue que l’autre . Et des lignes jaunes le long de la semelle caoutchouc.. vraiment déçue,shoes
"complète erreur de modele de Toututile qui n'a pas la version française en stock (contrairement à ce qui est annoncé sur le site). Elle envoie donc la version allemande du détendeur qui est d'aucune utilité .... et ne rembourse que 70% de la facture! Donc, perte sèche!",home_improvement
Non pratique pour les edges car les bourde curver fond que le verre se positionne mal et le verre colle mal à l écran,electronics
Je n'ai reçu que 60 bâtons ! 😡,home_improvement
